"","ID","CI1","N","RecDate","sex","weight","year","RecDt","RelRec"
"1","2391-83716","173",15,2011-05-14,"M",0.0126262626262626,"2011",2012-05-14,-39
"2","2540-46019","149",6,2011-05-16,"M",0.00505050505050505,"2011",2012-05-16,-13
"3","2540-46095","153",17,2011-05-31,"M",0.0143097643097643,"2011",2012-05-31,-2
"4","2540-98833","185",11,2011-05-06,"M",0.00925925925925926,"2011",2012-05-06,-59
"5","2540-98933","159",10,2011-05-13,"M",0.00841750841750842,"2011",2012-05-13,-26
"6","2540-98977","157",26,2011-05-21,"M",0.0218855218855219,"2011",2012-05-21,-16
"7","2540-98984","153",14,2011-05-26,"M",0.0117845117845118,"2011",2012-05-26,-7
"8","2600-27221","184",21,2011-05-25,"M",0.0176767676767677,"2011",2012-05-25,-39
"9","2600-27260","152",17,2011-05-23,"M",0.0143097643097643,"2011",2012-05-23,-9
"10","2600-27262","156",8,2011-05-18,"M",0.00673400673400673,"2011",2012-05-18,-18
"11","2600-27267","160",4,2011-05-30,"M",0.00336700336700337,"2011",2012-05-30,-10
"12","2600-27313","158",14,2011-05-26,"M",0.0117845117845118,"2011",2012-05-26,-12
"13","2391-90936","148",11,2012-08-21,"M",0.00925925925925926,"2012",2012-08-21,86
"14","2511-19701","157",9,2012-05-29,"M",0.00757575757575758,"2012",2012-05-29,-7
"15","2540-44680","155",7,2012-05-17,"M",0.00589225589225589,"2012",2012-05-17,-17
"16","2540-44751","142",7,2012-05-10,"M",0.00589225589225589,"2012",2012-05-10,-11
"17","2540-46019","141",6,2012-05-23,"M",0.00505050505050505,"2012",2012-05-23,3
"18","2540-98719","139",7,2012-05-18,"M",0.00589225589225589,"2012",2012-05-18,0
"19","2540-98868","140",8,2012-05-19,"M",0.00673400673400673,"2012",2012-05-19,0
"20","2540-98871","147",9,2012-05-18,"M",0.00757575757575758,"2012",2012-05-18,-8
"21","2600-27205","142",2,2012-05-29,"M",0.00168350168350168,"2012",2012-05-29,8
"22","2600-27212","149",14,2012-05-01,"M",0.0117845117845118,"2012",2012-05-01,-27
"23","2600-27264","141",34,2012-05-17,"M",0.0286195286195286,"2012",2012-05-17,-3
"24","2600-27294","125",19,2012-05-01,"M",0.015993265993266,"2012",2012-05-01,-3
"25","2600-27405","146",3,2012-06-22,"M",0.00252525252525253,"2012",2012-06-22,28
"26","2600-27408","147",21,2012-05-10,"M",0.0176767676767677,"2012",2012-05-10,-16
"27","2600-27411","146",17,2012-05-10,"M",0.0143097643097643,"2012",2012-05-10,-15
"28","2600-27468","142",8,2012-05-17,"M",0.00673400673400673,"2012",2012-05-17,-4
"29","2600-27495","139",12,2012-05-01,"M",0.0101010101010101,"2012",2012-05-01,-17
"30","2600-27496","149",5,2012-05-01,"M",0.00420875420875421,"2012",2012-05-01,-27
"31","2600-27548","133",25,2012-06-12,"M",0.021043771043771,"2012",2012-06-12,31
"32","2600-27549","168",4,2012-05-29,"M",0.00336700336700337,"2012",2012-05-29,-18
"33","2600-27551","171",16,2012-07-24,"M",0.0134680134680135,"2012",2012-07-24,35
"34","2600-27555","157",13,2012-05-21,"M",0.0109427609427609,"2012",2012-05-21,-15
"35","2600-27557","153",10,2012-07-24,"M",0.00841750841750842,"2012",2012-07-24,53
"36","2600-27559","166",4,2012-06-12,"M",0.00336700336700337,"2012",2012-06-12,-2
"37","2600-27568","146",8,2012-05-17,"M",0.00673400673400673,"2012",2012-05-17,-8
"38","2600-27570","142",14,2012-05-17,"M",0.0117845117845118,"2012",2012-05-17,-4
"39","2600-27616","148",26,2012-05-01,"M",0.0218855218855219,"2012",2012-05-01,-26
"40","2600-27638","175",15,2012-05-21,"M",0.0126262626262626,"2012",2012-05-21,-33
"41","2600-27738","160",19,2012-05-16,"M",0.015993265993266,"2012",2012-05-16,-23
"42","2600-27746","157",5,2012-05-29,"M",0.00420875420875421,"2012",2012-05-29,-7
"43","2391-83716","173",NA,NA,"M",NA,NA,NA,NA
"44","2540-46019","149",45,2011-05-21,"M",0.0378787878787879,"2011",2012-05-21,-8
"45","2540-46095","153",NA,NA,"M",NA,NA,NA,NA
"46","2540-98833","185",8,2011-05-17,"M",0.00673400673400673,"2011",2012-05-17,-48
"47","2540-98933","159",NA,NA,"M",NA,NA,NA,NA
"48","2540-98977","157",NA,NA,"M",NA,NA,NA,NA
"49","2540-98984","153",NA,NA,"M",NA,NA,NA,NA
"50","2600-27221","184",NA,NA,"M",NA,NA,NA,NA
"51","2600-27260","152",8,2011-05-30,"M",0.00673400673400673,"2011",2012-05-30,-2
"52","2600-27262","156",6,2011-05-30,"M",0.00505050505050505,"2011",2012-05-30,-6
"53","2600-27267","160",NA,NA,"M",NA,NA,NA,NA
"54","2600-27313","158",NA,NA,"M",NA,NA,NA,NA
"55","2391-90936","148",NA,NA,"M",NA,NA,NA,NA
"56","2511-19701","157",14,2012-07-24,"M",0.0117845117845118,"2012",2012-07-24,49
"57","2540-44680","155",8,2012-05-18,"M",0.00673400673400673,"2012",2012-05-18,-16
"58","2540-44751","142",16,2012-05-21,"M",0.0134680134680135,"2012",2012-05-21,0
"59","2540-46019","141",NA,NA,"M",NA,NA,NA,NA
"60","2540-98719","139",NA,NA,"M",NA,NA,NA,NA
"61","2540-98868","140",NA,NA,"M",NA,NA,NA,NA
"62","2540-98871","147",NA,NA,"M",NA,NA,NA,NA
"63","2600-27205","142",NA,NA,"M",NA,NA,NA,NA
"64","2600-27212","149",9,2012-05-16,"M",0.00757575757575758,"2012",2012-05-16,-12
"65","2600-27264","141",NA,NA,"M",NA,NA,NA,NA
"66","2600-27294","125",6,2012-05-10,"M",0.00505050505050505,"2012",2012-05-10,6
"67","2600-27405","146",NA,NA,"M",NA,NA,NA,NA
"68","2600-27408","147",7,2012-05-25,"M",0.00589225589225589,"2012",2012-05-25,-1
"69","2600-27411","146",7,2012-05-16,"M",0.00589225589225589,"2012",2012-05-16,-9
"70","2600-27468","142",10,2012-05-18,"M",0.00841750841750842,"2012",2012-05-18,-3
"71","2600-27495","139",17,2012-05-11,"M",0.0143097643097643,"2012",2012-05-11,-7
"72","2600-27496","149",5,2012-05-10,"M",0.00420875420875421,"2012",2012-05-10,-18
"73","2600-27548","133",14,2012-06-16,"M",0.0117845117845118,"2012",2012-06-16,35
"74","2600-27549","168",NA,NA,"M",NA,NA,NA,NA
"75","2600-27551","171",NA,NA,"M",NA,NA,NA,NA
"76","2600-27555","157",13,2012-05-25,"M",0.0109427609427609,"2012",2012-05-25,-11
"77","2600-27557","153",NA,NA,"M",NA,NA,NA,NA
"78","2600-27559","166",10,2012-06-22,"M",0.00841750841750842,"2012",2012-06-22,8
"79","2600-27568","146",NA,NA,"M",NA,NA,NA,NA
"80","2600-27570","142",NA,NA,"M",NA,NA,NA,NA
"81","2600-27616","148",11,2012-05-10,"M",0.00925925925925926,"2012",2012-05-10,-17
"82","2600-27638","175",5,2012-05-29,"M",0.00420875420875421,"2012",2012-05-29,-25
"83","2600-27738","160",9,2012-05-21,"M",0.00757575757575758,"2012",2012-05-21,-18
"84","2600-27746","157",22,2012-06-22,"M",0.0185185185185185,"2012",2012-06-22,17
"85","2391-83716","173",NA,NA,"M",NA,NA,NA,NA
"86","2540-46019","149",NA,NA,"M",NA,NA,NA,NA
"87","2540-46095","153",NA,NA,"M",NA,NA,NA,NA
"88","2540-98833","185",12,2011-05-25,"M",0.0101010101010101,"2011",2012-05-25,-40
"89","2540-98933","159",NA,NA,"M",NA,NA,NA,NA
"90","2540-98977","157",NA,NA,"M",NA,NA,NA,NA
"91","2540-98984","153",NA,NA,"M",NA,NA,NA,NA
"92","2600-27221","184",NA,NA,"M",NA,NA,NA,NA
"93","2600-27260","152",NA,NA,"M",NA,NA,NA,NA
"94","2600-27262","156",NA,NA,"M",NA,NA,NA,NA
"95","2600-27267","160",NA,NA,"M",NA,NA,NA,NA
"96","2600-27313","158",NA,NA,"M",NA,NA,NA,NA
"97","2391-90936","148",NA,NA,"M",NA,NA,NA,NA
"98","2511-19701","157",NA,NA,"M",NA,NA,NA,NA
"99","2540-44680","155",24,2012-06-12,"M",0.0202020202020202,"2012",2012-06-12,9
"100","2540-44751","142",NA,NA,"M",NA,NA,NA,NA
"101","2540-46019","141",NA,NA,"M",NA,NA,NA,NA
"102","2540-98719","139",NA,NA,"M",NA,NA,NA,NA
"103","2540-98868","140",NA,NA,"M",NA,NA,NA,NA
"104","2540-98871","147",NA,NA,"M",NA,NA,NA,NA
"105","2600-27205","142",NA,NA,"M",NA,NA,NA,NA
"106","2600-27212","149",5,2012-06-12,"M",0.00420875420875421,"2012",2012-06-12,15
"107","2600-27264","141",NA,NA,"M",NA,NA,NA,NA
"108","2600-27294","125",10,2012-05-29,"M",0.00841750841750842,"2012",2012-05-29,25
"109","2600-27405","146",NA,NA,"M",NA,NA,NA,NA
"110","2600-27408","147",7,2012-05-29,"M",0.00589225589225589,"2012",2012-05-29,3
"111","2600-27411","146",10,2012-05-21,"M",0.00841750841750842,"2012",2012-05-21,-4
"112","2600-27468","142",6,2012-06-12,"M",0.00505050505050505,"2012",2012-06-12,22
"113","2600-27495","139",13,2012-05-21,"M",0.0109427609427609,"2012",2012-05-21,3
"114","2600-27496","149",4,2012-05-11,"M",0.00336700336700337,"2012",2012-05-11,-17
"115","2600-27548","133",20,2012-06-22,"M",0.0168350168350168,"2012",2012-06-22,41
"116","2600-27549","168",NA,NA,"M",NA,NA,NA,NA
"117","2600-27551","171",NA,NA,"M",NA,NA,NA,NA
"118","2600-27555","157",10,2012-06-22,"M",0.00841750841750842,"2012",2012-06-22,17
"119","2600-27557","153",NA,NA,"M",NA,NA,NA,NA
"120","2600-27559","166",NA,NA,"M",NA,NA,NA,NA
"121","2600-27568","146",NA,NA,"M",NA,NA,NA,NA
"122","2600-27570","142",NA,NA,"M",NA,NA,NA,NA
"123","2600-27616","148",12,2012-05-11,"M",0.0101010101010101,"2012",2012-05-11,-16
"124","2600-27638","175",14,2012-06-22,"M",0.0117845117845118,"2012",2012-06-22,-1
"125","2600-27738","160",6,2012-05-25,"M",0.00505050505050505,"2012",2012-05-25,-14
"126","2600-27746","157",12,2012-07-24,"M",0.0101010101010101,"2012",2012-07-24,49
"127","2391-83716","173",NA,NA,"M",NA,NA,NA,NA
"128","2540-46019","149",NA,NA,"M",NA,NA,NA,NA
"129","2540-46095","153",NA,NA,"M",NA,NA,NA,NA
"130","2540-98833","185",28,2011-05-27,"M",0.0235690235690236,"2011",2012-05-27,-38
"131","2540-98933","159",NA,NA,"M",NA,NA,NA,NA
"132","2540-98977","157",NA,NA,"M",NA,NA,NA,NA
"133","2540-98984","153",NA,NA,"M",NA,NA,NA,NA
"134","2600-27221","184",NA,NA,"M",NA,NA,NA,NA
"135","2600-27260","152",NA,NA,"M",NA,NA,NA,NA
"136","2600-27262","156",NA,NA,"M",NA,NA,NA,NA
"137","2600-27267","160",NA,NA,"M",NA,NA,NA,NA
"138","2600-27313","158",NA,NA,"M",NA,NA,NA,NA
"139","2391-90936","148",NA,NA,"M",NA,NA,NA,NA
"140","2511-19701","157",NA,NA,"M",NA,NA,NA,NA
"141","2540-44680","155",NA,NA,"M",NA,NA,NA,NA
"142","2540-44751","142",NA,NA,"M",NA,NA,NA,NA
"143","2540-46019","141",NA,NA,"M",NA,NA,NA,NA
"144","2540-98719","139",NA,NA,"M",NA,NA,NA,NA
"145","2540-98868","140",NA,NA,"M",NA,NA,NA,NA
"146","2540-98871","147",NA,NA,"M",NA,NA,NA,NA
"147","2600-27205","142",NA,NA,"M",NA,NA,NA,NA
"148","2600-27212","149",7,2012-07-24,"M",0.00589225589225589,"2012",2012-07-24,57
"149","2600-27264","141",NA,NA,"M",NA,NA,NA,NA
"150","2600-27294","125",8,2012-06-22,"M",0.00673400673400673,"2012",2012-06-22,49
"151","2600-27405","146",NA,NA,"M",NA,NA,NA,NA
"152","2600-27408","147",6,2012-07-24,"M",0.00505050505050505,"2012",2012-07-24,59
"153","2600-27411","146",NA,NA,"M",NA,NA,NA,NA
"154","2600-27468","142",NA,NA,"M",NA,NA,NA,NA
"155","2600-27495","139",8,2012-05-29,"M",0.00673400673400673,"2012",2012-05-29,11
"156","2600-27496","149",4,2012-05-16,"M",0.00336700336700337,"2012",2012-05-16,-12
"157","2600-27548","133",32,2012-08-21,"M",0.0269360269360269,"2012",2012-08-21,101
"158","2600-27549","168",NA,NA,"M",NA,NA,NA,NA
"159","2600-27551","171",NA,NA,"M",NA,NA,NA,NA
"160","2600-27555","157",NA,NA,"M",NA,NA,NA,NA
"161","2600-27557","153",NA,NA,"M",NA,NA,NA,NA
"162","2600-27559","166",NA,NA,"M",NA,NA,NA,NA
"163","2600-27568","146",NA,NA,"M",NA,NA,NA,NA
"164","2600-27570","142",NA,NA,"M",NA,NA,NA,NA
"165","2600-27616","148",15,2012-05-16,"M",0.0126262626262626,"2012",2012-05-16,-11
"166","2600-27638","175",NA,NA,"M",NA,NA,NA,NA
"167","2600-27738","160",7,2012-05-29,"M",0.00589225589225589,"2012",2012-05-29,-10
"168","2600-27746","157",9,2012-08-21,"M",0.00757575757575758,"2012",2012-08-21,77
"169","2391-83716","173",NA,NA,"M",NA,NA,NA,NA
"170","2540-46019","149",NA,NA,"M",NA,NA,NA,NA
"171","2540-46095","153",NA,NA,"M",NA,NA,NA,NA
"172","2540-98833","185",NA,NA,"M",NA,NA,NA,NA
"173","2540-98933","159",NA,NA,"M",NA,NA,NA,NA
"174","2540-98977","157",NA,NA,"M",NA,NA,NA,NA
"175","2540-98984","153",NA,NA,"M",NA,NA,NA,NA
"176","2600-27221","184",NA,NA,"M",NA,NA,NA,NA
"177","2600-27260","152",NA,NA,"M",NA,NA,NA,NA
"178","2600-27262","156",NA,NA,"M",NA,NA,NA,NA
"179","2600-27267","160",NA,NA,"M",NA,NA,NA,NA
"180","2600-27313","158",NA,NA,"M",NA,NA,NA,NA
"181","2391-90936","148",NA,NA,"M",NA,NA,NA,NA
"182","2511-19701","157",NA,NA,"M",NA,NA,NA,NA
"183","2540-44680","155",NA,NA,"M",NA,NA,NA,NA
"184","2540-44751","142",NA,NA,"M",NA,NA,NA,NA
"185","2540-46019","141",NA,NA,"M",NA,NA,NA,NA
"186","2540-98719","139",NA,NA,"M",NA,NA,NA,NA
"187","2540-98868","140",NA,NA,"M",NA,NA,NA,NA
"188","2540-98871","147",NA,NA,"M",NA,NA,NA,NA
"189","2600-27205","142",NA,NA,"M",NA,NA,NA,NA
"190","2600-27212","149",NA,NA,"M",NA,NA,NA,NA
"191","2600-27264","141",NA,NA,"M",NA,NA,NA,NA
"192","2600-27294","125",25,2012-08-21,"M",0.021043771043771,"2012",2012-08-21,109
"193","2600-27405","146",NA,NA,"M",NA,NA,NA,NA
"194","2600-27408","147",NA,NA,"M",NA,NA,NA,NA
"195","2600-27411","146",NA,NA,"M",NA,NA,NA,NA
"196","2600-27468","142",NA,NA,"M",NA,NA,NA,NA
"197","2600-27495","139",28,2012-08-09,"M",0.0235690235690236,"2012",2012-08-09,83
"198","2600-27496","149",8,2012-05-21,"M",0.00673400673400673,"2012",2012-05-21,-7
"199","2600-27548","133",NA,NA,"M",NA,NA,NA,NA
"200","2600-27549","168",NA,NA,"M",NA,NA,NA,NA
"201","2600-27551","171",NA,NA,"M",NA,NA,NA,NA
"202","2600-27555","157",NA,NA,"M",NA,NA,NA,NA
"203","2600-27557","153",NA,NA,"M",NA,NA,NA,NA
"204","2600-27559","166",NA,NA,"M",NA,NA,NA,NA
"205","2600-27568","146",NA,NA,"M",NA,NA,NA,NA
"206","2600-27570","142",NA,NA,"M",NA,NA,NA,NA
"207","2600-27616","148",16,2012-05-21,"M",0.0134680134680135,"2012",2012-05-21,-6
"208","2600-27638","175",NA,NA,"M",NA,NA,NA,NA
"209","2600-27738","160",18,2012-06-16,"M",0.0151515151515152,"2012",2012-06-16,8
"210","2600-27746","157",NA,NA,"M",NA,NA,NA,NA
"211","2391-83716","173",NA,NA,"M",NA,NA,NA,NA
"212","2540-46019","149",NA,NA,"M",NA,NA,NA,NA
"213","2540-46095","153",NA,NA,"M",NA,NA,NA,NA
"214","2540-98833","185",NA,NA,"M",NA,NA,NA,NA
"215","2540-98933","159",NA,NA,"M",NA,NA,NA,NA
"216","2540-98977","157",NA,NA,"M",NA,NA,NA,NA
"217","2540-98984","153",NA,NA,"M",NA,NA,NA,NA
"218","2600-27221","184",NA,NA,"M",NA,NA,NA,NA
"219","2600-27260","152",NA,NA,"M",NA,NA,NA,NA
"220","2600-27262","156",NA,NA,"M",NA,NA,NA,NA
"221","2600-27267","160",NA,NA,"M",NA,NA,NA,NA
"222","2600-27313","158",NA,NA,"M",NA,NA,NA,NA
"223","2391-90936","148",NA,NA,"M",NA,NA,NA,NA
"224","2511-19701","157",NA,NA,"M",NA,NA,NA,NA
"225","2540-44680","155",NA,NA,"M",NA,NA,NA,NA
"226","2540-44751","142",NA,NA,"M",NA,NA,NA,NA
"227","2540-46019","141",NA,NA,"M",NA,NA,NA,NA
"228","2540-98719","139",NA,NA,"M",NA,NA,NA,NA
"229","2540-98868","140",NA,NA,"M",NA,NA,NA,NA
"230","2540-98871","147",NA,NA,"M",NA,NA,NA,NA
"231","2600-27205","142",NA,NA,"M",NA,NA,NA,NA
"232","2600-27212","149",NA,NA,"M",NA,NA,NA,NA
"233","2600-27264","141",NA,NA,"M",NA,NA,NA,NA
"234","2600-27294","125",NA,NA,"M",NA,NA,NA,NA
"235","2600-27405","146",NA,NA,"M",NA,NA,NA,NA
"236","2600-27408","147",NA,NA,"M",NA,NA,NA,NA
"237","2600-27411","146",NA,NA,"M",NA,NA,NA,NA
"238","2600-27468","142",NA,NA,"M",NA,NA,NA,NA
"239","2600-27495","139",NA,NA,"M",NA,NA,NA,NA
"240","2600-27496","149",NA,NA,"M",NA,NA,NA,NA
"241","2600-27548","133",NA,NA,"M",NA,NA,NA,NA
"242","2600-27549","168",NA,NA,"M",NA,NA,NA,NA
"243","2600-27551","171",NA,NA,"M",NA,NA,NA,NA
"244","2600-27555","157",NA,NA,"M",NA,NA,NA,NA
"245","2600-27557","153",NA,NA,"M",NA,NA,NA,NA
"246","2600-27559","166",NA,NA,"M",NA,NA,NA,NA
"247","2600-27568","146",NA,NA,"M",NA,NA,NA,NA
"248","2600-27570","142",NA,NA,"M",NA,NA,NA,NA
"249","2600-27616","148",5,2012-05-29,"M",0.00420875420875421,"2012",2012-05-29,2
"250","2600-27638","175",NA,NA,"M",NA,NA,NA,NA
"251","2600-27738","160",13,2012-06-22,"M",0.0109427609427609,"2012",2012-06-22,14
"252","2600-27746","157",NA,NA,"M",NA,NA,NA,NA
"253","2391-83716","173",NA,NA,"M",NA,NA,NA,NA
"254","2540-46019","149",NA,NA,"M",NA,NA,NA,NA
"255","2540-46095","153",NA,NA,"M",NA,NA,NA,NA
"256","2540-98833","185",NA,NA,"M",NA,NA,NA,NA
"257","2540-98933","159",NA,NA,"M",NA,NA,NA,NA
"258","2540-98977","157",NA,NA,"M",NA,NA,NA,NA
"259","2540-98984","153",NA,NA,"M",NA,NA,NA,NA
"260","2600-27221","184",NA,NA,"M",NA,NA,NA,NA
"261","2600-27260","152",NA,NA,"M",NA,NA,NA,NA
"262","2600-27262","156",NA,NA,"M",NA,NA,NA,NA
"263","2600-27267","160",NA,NA,"M",NA,NA,NA,NA
"264","2600-27313","158",NA,NA,"M",NA,NA,NA,NA
"265","2391-90936","148",NA,NA,"M",NA,NA,NA,NA
"266","2511-19701","157",NA,NA,"M",NA,NA,NA,NA
"267","2540-44680","155",NA,NA,"M",NA,NA,NA,NA
"268","2540-44751","142",NA,NA,"M",NA,NA,NA,NA
"269","2540-46019","141",NA,NA,"M",NA,NA,NA,NA
"270","2540-98719","139",NA,NA,"M",NA,NA,NA,NA
"271","2540-98868","140",NA,NA,"M",NA,NA,NA,NA
"272","2540-98871","147",NA,NA,"M",NA,NA,NA,NA
"273","2600-27205","142",NA,NA,"M",NA,NA,NA,NA
"274","2600-27212","149",NA,NA,"M",NA,NA,NA,NA
"275","2600-27264","141",NA,NA,"M",NA,NA,NA,NA
"276","2600-27294","125",NA,NA,"M",NA,NA,NA,NA
"277","2600-27405","146",NA,NA,"M",NA,NA,NA,NA
"278","2600-27408","147",NA,NA,"M",NA,NA,NA,NA
"279","2600-27411","146",NA,NA,"M",NA,NA,NA,NA
"280","2600-27468","142",NA,NA,"M",NA,NA,NA,NA
"281","2600-27495","139",NA,NA,"M",NA,NA,NA,NA
"282","2600-27496","149",NA,NA,"M",NA,NA,NA,NA
"283","2600-27548","133",NA,NA,"M",NA,NA,NA,NA
"284","2600-27549","168",NA,NA,"M",NA,NA,NA,NA
"285","2600-27551","171",NA,NA,"M",NA,NA,NA,NA
"286","2600-27555","157",NA,NA,"M",NA,NA,NA,NA
"287","2600-27557","153",NA,NA,"M",NA,NA,NA,NA
"288","2600-27559","166",NA,NA,"M",NA,NA,NA,NA
"289","2600-27568","146",NA,NA,"M",NA,NA,NA,NA
"290","2600-27570","142",NA,NA,"M",NA,NA,NA,NA
"291","2600-27616","148",8,2012-06-12,"M",0.00673400673400673,"2012",2012-06-12,16
"292","2600-27638","175",NA,NA,"M",NA,NA,NA,NA
"293","2600-27738","160",NA,NA,"M",NA,NA,NA,NA
"294","2600-27746","157",NA,NA,"M",NA,NA,NA,NA
"295","2391-83716","173",NA,NA,"M",NA,NA,NA,NA
"296","2540-46019","149",NA,NA,"M",NA,NA,NA,NA
"297","2540-46095","153",NA,NA,"M",NA,NA,NA,NA
"298","2540-98833","185",NA,NA,"M",NA,NA,NA,NA
"299","2540-98933","159",NA,NA,"M",NA,NA,NA,NA
"300","2540-98977","157",NA,NA,"M",NA,NA,NA,NA
"301","2540-98984","153",NA,NA,"M",NA,NA,NA,NA
"302","2600-27221","184",NA,NA,"M",NA,NA,NA,NA
"303","2600-27260","152",NA,NA,"M",NA,NA,NA,NA
"304","2600-27262","156",NA,NA,"M",NA,NA,NA,NA
"305","2600-27267","160",NA,NA,"M",NA,NA,NA,NA
"306","2600-27313","158",NA,NA,"M",NA,NA,NA,NA
"307","2391-90936","148",NA,NA,"M",NA,NA,NA,NA
"308","2511-19701","157",NA,NA,"M",NA,NA,NA,NA
"309","2540-44680","155",NA,NA,"M",NA,NA,NA,NA
"310","2540-44751","142",NA,NA,"M",NA,NA,NA,NA
"311","2540-46019","141",NA,NA,"M",NA,NA,NA,NA
"312","2540-98719","139",NA,NA,"M",NA,NA,NA,NA
"313","2540-98868","140",NA,NA,"M",NA,NA,NA,NA
"314","2540-98871","147",NA,NA,"M",NA,NA,NA,NA
"315","2600-27205","142",NA,NA,"M",NA,NA,NA,NA
"316","2600-27212","149",NA,NA,"M",NA,NA,NA,NA
"317","2600-27264","141",NA,NA,"M",NA,NA,NA,NA
"318","2600-27294","125",NA,NA,"M",NA,NA,NA,NA
"319","2600-27405","146",NA,NA,"M",NA,NA,NA,NA
"320","2600-27408","147",NA,NA,"M",NA,NA,NA,NA
"321","2600-27411","146",NA,NA,"M",NA,NA,NA,NA
"322","2600-27468","142",NA,NA,"M",NA,NA,NA,NA
"323","2600-27495","139",NA,NA,"M",NA,NA,NA,NA
"324","2600-27496","149",NA,NA,"M",NA,NA,NA,NA
"325","2600-27548","133",NA,NA,"M",NA,NA,NA,NA
"326","2600-27549","168",NA,NA,"M",NA,NA,NA,NA
"327","2600-27551","171",NA,NA,"M",NA,NA,NA,NA
"328","2600-27555","157",NA,NA,"M",NA,NA,NA,NA
"329","2600-27557","153",NA,NA,"M",NA,NA,NA,NA
"330","2600-27559","166",NA,NA,"M",NA,NA,NA,NA
"331","2600-27568","146",NA,NA,"M",NA,NA,NA,NA
"332","2600-27570","142",NA,NA,"M",NA,NA,NA,NA
"333","2600-27616","148",7,2012-08-09,"M",0.00589225589225589,"2012",2012-08-09,74
"334","2600-27638","175",NA,NA,"M",NA,NA,NA,NA
"335","2600-27738","160",NA,NA,"M",NA,NA,NA,NA
"336","2600-27746","157",NA,NA,"M",NA,NA,NA,NA
"337","2540-98929","153",1,2011-05-26,"F",0.0204081632653061,"2011",2012-05-26,-7
"338","2540-98915","152",4,2011-05-18,"F",0.0816326530612245,"2011",2012-05-18,-14
"339","2600-27451","158",0,2011-05-29,"F",0,"2011",2012-05-29,-9
"340","2540-98605","148",1,2012-05-23,"F",0.0204081632653061,"2012",2012-05-23,-4
"341","2540-98606","130",3,2012-05-23,"F",0.0612244897959184,"2012",2012-05-23,14
"342","2540-98618","141",6,2012-05-17,"F",0.122448979591837,"2012",2012-05-17,-3
"343","2391-83585","142",6,2012-05-29,"F",0.122448979591837,"2012",2012-05-29,8
"344","2600-27211","152",2,2012-05-10,"F",0.0408163265306122,"2012",2012-05-10,-21
"345","2540-98877","147",0,2012-05-25,"F",0,"2012",2012-05-25,-1
"346","2600-27615","149",3,2012-05-25,"F",0.0612244897959184,"2012",2012-05-25,-3
"347","2540-98876","153",7,2012-05-29,"F",0.142857142857143,"2012",2012-05-29,-3
"348","2391-90700","148",11,2012-05-11,"F",0.224489795918367,"2012",2012-05-11,-16
"349","2600-27737","175",0,2012-05-25,"F",0,"2012",2012-05-25,-29
"350","2540-98872","160",3,2012-05-29,"F",0.0612244897959184,"2012",2012-05-29,-10
"351","2600-27265","141",1,2012-05-19,"F",0.0204081632653061,"2012",2012-05-19,-1
"352","2391-83585","142",1,2012-05-21,"F",0.0204081632653061,"2012",2012-05-21,0
